type,f3,name,set,number,rarity,source,qr_value_pokemon,qr_value_trainer,image
Pokemon,680,Krabby,A1,68,C,normal,680,10000680,cPK_10_000680_00_CRAB_C.webp
Pokemon,690,Kingler,A1,69,U,normal,690,10000690,cPK_10_000690_00_KINGLER_U.webp
Pokemon,700,Horsea,A1,70,C,normal,700,10000700,cPK_10_000700_00_TATTU_C.webp
Pokemon,710,Seadra,A1,71,U,normal,710,10000710,cPK_10_000710_00_SEADRA_U.webp
Pokemon,720,Goldeen,A1,72,C,normal,720,10000720,cPK_10_000720_00_TOSAKINTO_C.webp
Pokemon,730,Seaking,A1,73,C,normal,730,10000730,cPK_10_000730_00_AZUMAO_C.webp
Pokemon,740,Staryu,A1,74,C,normal,740,10000740,cPK_10_000740_00_HITODEMAN_C.webp
Pokemon,750,Starmie,A1,75,U,normal,750,10000750,cPK_10_000750_00_STARMIE_U.webp
Pokemon,760,Starmie ex,A1,76,RR,normal,760,10000760,cPK_10_000760_00_STARMIEex_RR.webp
Pokemon,770,Magikarp,A1,77,C,normal,770,10000770,cPK_10_000770_00_KOIKING_C.webp
Pokemon,780,Gyarados,A1,78,R,normal,780,10000780,cPK_10_000780_00_GYARADOS_R.webp
Pokemon,790,Lapras,A1,79,R,normal,790,10000790,cPK_10_000790_00_LAPLACE_R.webp
Pokemon,800,Vaporeon,A1,80,R,normal,800,10000800,cPK_10_000800_00_SHOWERS_R.webp
Pokemon,810,Omanyte,A1,81,U,normal,810,10000810,cPK_10_000810_00_OMNITE_U.webp
Pokemon,820,Omastar,A1,82,R,normal,820,10000820,cPK_10_000820_00_OMSTAR_R.webp
Pokemon,830,Articuno,A1,83,R,normal,830,10000830,cPK_10_000830_00_FREEZER_R.webp
Pokemon,840,Articuno ex,A1,84,RR,normal,840,10000840,cPK_10_000840_00_FREEZERex_RR.webp
Pokemon,850,Ducklett,A1,85,C,normal,850,10000850,cPK_10_000850_00_KOARUHIE_C.webp
Pokemon,860,Swanna,A1,86,U,normal,860,10000860,cPK_10_000860_00_SWANNA_U.webp
Pokemon,870,Froakie,A1,87,C,normal,870,10000870,cPK_10_000870_00_KEROMATSU_C.webp
Pokemon,880,Frogadier,A1,88,U,normal,880,10000880,cPK_10_000880_00_GEKOGASHIRA_U.webp
Pokemon,890,Greninja,A1,89,R,normal,890,10000890,cPK_10_000890_00_GEKKOUGA_R.webp
Pokemon,900,Pyukumuku,A1,90,C,normal,900,10000900,cPK_10_000900_00_NAMAKOBUSHI_C.webp
Pokemon,910,Bruxish,A1,91,U,normal,910,10000910,cPK_10_000910_00_HAGIGISHIRI_U.webp
Pokemon,920,Snom,A1,92,C,normal,920,10000920,cPK_10_000920_00_YUKIHAMI_C.webp
Pokemon,930,Frosmoth,A1,93,U,normal,930,10000930,cPK_10_000930_00_MOTHNOW_U.webp
Pokemon,940,Pikachu,A1,94,C,normal,940,10000940,cPK_10_000940_00_PIKACHU_C.webp
Pokemon,950,Raichu,A1,95,R,normal,950,10000950,cPK_10_000950_00_RAICHU_R.webp
Pokemon,960,Pikachu ex,A1,96,RR,normal,960,10000960,cPK_10_000960_00_PIKACHUex_RR.webp
Pokemon,970,Magnemite,A1,97,C,normal,970,10000970,cPK_10_000970_00_COIL_C.webp
Pokemon,980,Magneton,A1,98,R,normal,980,10000980,cPK_10_000980_00_RARECOIL_R.webp
Pokemon,990,Voltorb,A1,99,C,normal,990,10000990,cPK_10_000990_00_BIRIRIDAMA_C.webp
Pokemon,1000,Electrode,A1,100,U,normal,1000,10001000,cPK_10_001000_00_MARUMINE_U.webp
Pokemon,1010,Electabuzz,A1,101,C,normal,1010,10001010,cPK_10_001010_00_ELEBOO_C.webp
Pokemon,1020,Jolteon,A1,102,R,normal,1020,10001020,cPK_10_001020_00_THUNDERS_R.webp
Pokemon,1030,Zapdos,A1,103,R,normal,1030,10001030,cPK_10_001030_00_THUNDER_R.webp
Pokemon,1040,Zapdos ex,A1,104,RR,normal,1040,10001040,cPK_10_001040_00_THUNDERex_RR.webp
Pokemon,1050,Blitzle,A1,105,C,normal,1050,10001050,cPK_10_001050_00_SHIMAMA_C.webp
Pokemon,1060,Zebstrika,A1,106,U,normal,1060,10001060,cPK_10_001060_00_ZEBRAIKA_U.webp
Pokemon,1070,Tynamo,A1,107,C,normal,1070,10001070,cPK_10_001070_00_SHIBISHIRASU_C.webp
Pokemon,1080,Eelektrik,A1,108,U,normal,1080,10001080,cPK_10_001080_00_SHIBIBEEL_U.webp
Pokemon,1090,Eelektross,A1,109,R,normal,1090,10001090,cPK_10_001090_00_SHIBIRUDON_R.webp
Pokemon,1100,Helioptile,A1,110,C,normal,1100,10001100,cPK_10_001100_00_ERIKITERU_C.webp
Pokemon,1110,Heliolisk,A1,111,C,normal,1110,10001110,cPK_10_001110_00_ELEZARD_C.webp
Pokemon,1120,Pincurchin,A1,112,U,normal,1120,10001120,cPK_10_001120_00_BACHINUNI_U.webp
Pokemon,1130,Clefairy,A1,113,C,normal,1130,10001130,cPK_10_001130_00_PIPPI_C.webp
Pokemon,1140,Clefable,A1,114,U,normal,1140,10001140,cPK_10_001140_00_PIXY_U.webp
Pokemon,1150,Abra,A1,115,C,normal,1150,10001150,cPK_10_001150_00_CASEY_C.webp
Pokemon,1160,Kadabra,A1,116,U,normal,1160,10001160,cPK_10_001160_00_YUNGERER_U.webp
Pokemon,1170,Alakazam,A1,117,R,normal,1170,10001170,cPK_10_001170_00_FOODIN_R.webp
Pokemon,1180,Slowpoke,A1,118,C,normal,1180,10001180,cPK_10_001180_00_YADON_C.webp
Pokemon,1190,Slowbro,A1,119,U,normal,1190,10001190,cPK_10_001190_00_YADORAN_U.webp
Pokemon,1200,Gastly,A1,120,C,normal,1200,10001200,cPK_10_001200_00_GHOS_C.webp
Pokemon,1210,Haunter,A1,121,U,normal,1210,10001210,cPK_10_001210_00_GHOST_U.webp
Pokemon,1220,Gengar,A1,122,R,normal,1220,10001220,cPK_10_001220_00_GANGAR_R.webp
Pokemon,1230,Gengar ex,A1,123,RR,normal,1230,10001230,cPK_10_001230_00_GANGARex_RR.webp
Pokemon,1240,Drowzee,A1,124,C,normal,1240,10001240,cPK_10_001240_00_SLEEPE_C.webp
Pokemon,1250,Hypno,A1,125,R,normal,1250,10001250,cPK_10_001250_00_SLEEPER_R.webp
Pokemon,1260,Mr. Mime,A1,126,U,normal,1260,10001260,cPK_10_001260_00_BARRIERD_U.webp
Pokemon,1270,Jynx,A1,127,C,normal,1270,10001270,cPK_10_001270_00_ROUGELA_C.webp
Pokemon,1280,Mewtwo,A1,128,R,normal,1280,10001280,cPK_10_001280_00_MEWTWO_R.webp
Pokemon,1290,Mewtwo ex,A1,129,RR,normal,1290,10001290,cPK_10_001290_00_MEWTWOex_RR.webp
Pokemon,1300,Ralts,A1,130,C,normal,1300,10001300,cPK_10_001300_00_RALTS_C.webp
Pokemon,1310,Kirlia,A1,131,U,normal,1310,10001310,cPK_10_001310_00_KIRLIA_U.webp
Pokemon,1320,Gardevoir,A1,132,R,normal,1320,10001320,cPK_10_001320_00_SIRNIGHT_R.webp
Pokemon,1330,Woobat,A1,133,C,normal,1330,10001330,cPK_10_001330_00_KOROMORI_C.webp
Pokemon,1340,Swoobat,A1,134,C,normal,1340,10001340,cPK_10_001340_00_KOKOROMORI_C.webp
Pokemon,1350,Golett,A1,135,C,normal,1350,10001350,cPK_10_001350_00_GOBIT_C.webp
Pokemon,1360,Golurk,A1,136,U,normal,1360,10001360,cPK_10_001360_00_GOLOOG_U.webp
Pokemon,1370,Sandshrew,A1,137,C,normal,1370,10001370,cPK_10_001370_00_SAND_C.webp
Pokemon,1380,Sandslash,A1,138,U,normal,1380,10001380,cPK_10_001380_00_SANDPAN_U.webp
Pokemon,1390,Diglett,A1,139,C,normal,1390,10001390,cPK_10_001390_00_DIGDA_C.webp
Pokemon,1400,Dugtrio,A1,140,U,normal,1400,10001400,cPK_10_001400_00_DUGTRIO_U.webp
Pokemon,1410,Mankey,A1,141,C,normal,1410,10001410,cPK_10_001410_00_MANKEY_C.webp
Pokemon,1420,Primeape,A1,142,U,normal,1420,10001420,cPK_10_001420_00_OKORIZARU_U.webp
Pokemon,1430,Machop,A1,143,C,normal,1430,10001430,cPK_10_001430_00_WANRIKY_C.webp
Pokemon,1440,Machoke,A1,144,U,normal,1440,10001440,cPK_10_001440_00_GORIKY_U.webp
Pokemon,1450,Machamp,A1,145,R,normal,1450,10001450,cPK_10_001450_00_KAIRIKY_R.webp
Pokemon,1460,Machamp ex,A1,146,RR,normal,1460,10001460,cPK_10_001460_00_KAIRIKYex_RR.webp
Pokemon,1470,Geodude,A1,147,C,normal,1470,10001470,cPK_10_001470_00_ISITSUBUTE_C.webp
Pokemon,1480,Graveler,A1,148,U,normal,1480,10001480,cPK_10_001480_00_GOLONE_U.webp
Pokemon,1490,Golem,A1,149,R,normal,1490,10001490,cPK_10_001490_00_GOLONYA_R.webp
Pokemon,1500,Onix,A1,150,U,normal,1500,10001500,cPK_10_001500_00_IWARK_U.webp
Pokemon,1510,Cubone,A1,151,C,normal,1510,10001510,cPK_10_001510_00_KARAKARA_C.webp
Pokemon,1520,Marowak,A1,152,U,normal,1520,10001520,cPK_10_001520_00_GARAGARA_U.webp
Pokemon,1530,Marowak ex,A1,153,RR,normal,1530,10001530,cPK_10_001530_00_GARAGARAex_RR.webp
Pokemon,1540,Hitmonlee,A1,154,C,normal,1540,10001540,cPK_10_001540_00_SAWAMULAR_C.webp
Pokemon,1550,Hitmonchan,A1,155,C,normal,1550,10001550,cPK_10_001550_00_EBIWALAR_C.webp
Pokemon,1560,Rhyhorn,A1,156,C,normal,1560,10001560,cPK_10_001560_00_SIHORN_C.webp
Pokemon,1570,Rhydon,A1,157,U,normal,1570,10001570,cPK_10_001570_00_SIDON_U.webp
Pokemon,1580,Kabuto,A1,158,U,normal,1580,10001580,cPK_10_001580_00_KABUTO_U.webp
Pokemon,1590,Kabutops,A1,159,R,normal,1590,10001590,cPK_10_001590_00_KABUTOPS_R.webp
Pokemon,1600,Mienfoo,A1,160,C,normal,1600,10001600,cPK_10_001600_00_KOJOFU_C.webp
Pokemon,1610,Mienshao,A1,161,U,normal,1610,10001610,cPK_10_001610_00_KOJONDO_U.webp
Pokemon,1620,Clobbopus,A1,162,C,normal,1620,10001620,cPK_10_001620_00_TATAKKO_C.webp
Pokemon,1630,Grapploct,A1,163,U,normal,1630,10001630,cPK_10_001630_00_OTOSUPUS_U.webp
Pokemon,1640,Ekans,A1,164,C,normal,1640,10001640,cPK_10_001640_00_ARBO_C.webp
Pokemon,1650,Arbok,A1,165,U,normal,1650,10001650,cPK_10_001650_00_ARBOK_U.webp
Pokemon,1660,Nidoran♀,A1,166,C,normal,1660,10001660,cPK_10_001660_00_NIDORAN♀_C.webp
Pokemon,1670,Nidorina,A1,167,U,normal,1670,10001670,cPK_10_001670_00_NIDORINA_U.webp
Pokemon,1680,Nidoqueen,A1,168,R,normal,1680,10001680,cPK_10_001680_00_NIDOQUEEN_R.webp
Pokemon,1690,Nidoran♂,A1,169,C,normal,1690,10001690,cPK_10_001690_00_NIDORAN♂_C.webp
Pokemon,1700,Nidorino,A1,170,U,normal,1700,10001700,cPK_10_001700_00_NIDORINO_U.webp
Pokemon,1710,Nidoking,A1,171,R,normal,1710,10001710,cPK_10_001710_00_NIDOKING_R.webp
Pokemon,1720,Zubat,A1,172,C,normal,1720,10001720,cPK_10_001720_00_ZUBAT_C.webp
Pokemon,1730,Golbat,A1,173,U,normal,1730,10001730,cPK_10_001730_00_GOLBAT_U.webp
Pokemon,1740,Grimer,A1,174,C,normal,1740,10001740,cPK_10_001740_00_BETBETER_C.webp
Pokemon,1750,Muk,A1,175,R,normal,1750,10001750,cPK_10_001750_00_BETBETON_R.webp
Pokemon,1760,Koffing,A1,176,C,normal,1760,10001760,cPK_10_001760_00_DOGARS_C.webp
Pokemon,1770,Weezing,A1,177,R,normal,1770,10001770,cPK_10_001770_00_MATADOGAS_R.webp
Pokemon,1780,Mawile,A1,178,C,normal,1780,10001780,cPK_10_001780_00_KUCHEAT_C.webp
Pokemon,1790,Pawniard,A1,179,C,normal,1790,10001790,cPK_10_001790_00_KOMATANA_C.webp
Pokemon,1800,Bisharp,A1,180,U,normal,1800,10001800,cPK_10_001800_00_KIRIKIZAN_U.webp
Pokemon,1810,Meltan,A1,181,C,normal,1810,10001810,cPK_10_001810_00_MELTAN_C.webp
Pokemon,1820,Melmetal,A1,182,R,normal,1820,10001820,cPK_10_001820_00_MELMETAL_R.webp
Pokemon,1830,Dratini,A1,183,C,normal,1830,10001830,cPK_10_001830_00_MINIRYU_C.webp
Pokemon,1840,Dragonair,A1,184,U,normal,1840,10001840,cPK_10_001840_00_HAKURYU_U.webp
Pokemon,1850,Dragonite,A1,185,R,normal,1850,10001850,cPK_10_001850_00_KAIRYU_R.webp
Pokemon,1860,Pidgey,A1,186,C,normal,1860,10001860,cPK_10_001860_00_POPPO_C.webp
Pokemon,1870,Pidgeotto,A1,187,C,normal,1870,10001870,cPK_10_001870_00_PIGEON_C.webp
Pokemon,1880,Pidgeot,A1,188,R,normal,1880,10001880,cPK_10_001880_00_PIGEOT_R.webp
Pokemon,1890,Rattata,A1,189,C,normal,1890,10001890,cPK_10_001890_00_KORATTA_C.webp
Pokemon,1900,Raticate,A1,190,C,normal,1900,10001900,cPK_10_001900_00_RATTA_C.webp
Pokemon,1910,Spearow,A1,191,C,normal,1910,10001910,cPK_10_001910_00_ONISUZUME_C.webp
Pokemon,1920,Fearow,A1,192,C,normal,1920,10001920,cPK_10_001920_00_ONIDRILL_C.webp
Pokemon,1930,Jigglypuff,A1,193,C,normal,1930,10001930,cPK_10_001930_00_PURIN_C.webp
Pokemon,1940,Wigglytuff,A1,194,C,normal,1940,10001940,cPK_10_001940_00_PUKURIN_C.webp
Pokemon,1950,Wigglytuff ex,A1,195,RR,normal,1950,10001950,cPK_10_001950_00_PUKURINex_RR.webp
Pokemon,1960,Meowth,A1,196,C,normal,1960,10001960,cPK_10_001960_00_NYARTH_C.webp
Pokemon,1970,Persian,A1,197,U,normal,1970,10001970,cPK_10_001970_00_PERSIAN_U.webp
Pokemon,1980,Farfetch’d,A1,198,C,normal,1980,10001980,cPK_10_001980_00_KAMONEGI_C.webp
Pokemon,1990,Doduo,A1,199,C,normal,1990,10001990,cPK_10_001990_00_DODO_C.webp
Pokemon,2000,Dodrio,A1,200,U,normal,2000,10002000,cPK_10_002000_00_DODORIO_U.webp
Pokemon,2010,Lickitung,A1,201,U,normal,2010,10002010,cPK_10_002010_00_BERORINGA_U.webp
Pokemon,2020,Chansey,A1,202,U,normal,2020,10002020,cPK_10_002020_00_LUCKY_U.webp
Pokemon,2030,Kangaskhan,A1,203,R,normal,2030,10002030,cPK_10_002030_00_GARURA_R.webp
Pokemon,2040,Tauros,A1,204,U,normal,2040,10002040,cPK_10_002040_00_KENTAUROS_U.webp
Pokemon,2050,Ditto,A1,205,R,normal,2050,10002050,cPK_10_002050_00_METAMON_R.webp
Pokemon,2060,Eevee,A1,206,C,normal,2060,10002060,cPK_10_002060_00_EIEVUI_C.webp
Pokemon,2070,Porygon,A1,209,U,normal,2070,10002070,cPK_10_002070_00_PORYGON_U.webp
Pokemon,2080,Aerodactyl,A1,210,R,normal,2080,10002080,cPK_10_002080_00_PTERA_R.webp
Pokemon,2090,Snorlax,A1,211,R,normal,2090,10002090,cPK_10_002090_00_KABIGON_R.webp
Pokemon,2100,Minccino,A1,212,C,normal,2100,10002100,cPK_10_002100_00_CHILLARMY_C.webp
Pokemon,2110,Cinccino,A1,213,U,normal,2110,10002110,cPK_10_002110_00_CHILLACCINO_U.webp
Pokemon,2120,Wooloo,A1,214,C,normal,2120,10002120,cPK_10_002120_00_WOOLUU_C.webp
Pokemon,2130,Dubwool,A1,215,C,normal,2130,10002130,cPK_10_002130_00_BAIWOOLUU_C.webp
Pokemon,2140,Mew,A1a,31,R,normal,2140,10002140,cPK_10_002140_00_MEW_R.webp
Pokemon,2150,Exeggcute,A1a,1,C,normal,2150,10002150,cPK_10_002150_00_TAMATAMA_C.webp
Pokemon,2160,Exeggutor,A1a,2,U,normal,2160,10002160,cPK_10_002160_00_NASSY_U.webp
Pokemon,2170,Celebi ex,A1a,3,RR,normal,2170,10002170,cPK_10_002170_00_CELEBIex_RR.webp
Pokemon,2180,Snivy,A1a,4,C,normal,2180,10002180,cPK_10_002180_00_TSUTARJA_C.webp
Pokemon,2190,Servine,A1a,5,U,normal,2190,10002190,cPK_10_002190_00_JANOVY_U.webp
Pokemon,2200,Serperior,A1a,6,R,normal,2200,10002200,cPK_10_002200_00_JALORDA_R.webp
Pokemon,2210,Morelull,A1a,7,C,normal,2210,10002210,cPK_10_002210_00_NEMASYU_C.webp
Pokemon,2220,Shiinotic,A1a,8,U,normal,2220,10002220,cPK_10_002220_00_MASHADE_U.webp
Pokemon,2230,Dhelmise,A1a,9,U,normal,2230,10002230,cPK_10_002230_00_DADARIN_U.webp
Pokemon,2240,Ponyta,A1a,10,C,normal,2240,10002240,cPK_10_002240_00_PONYTA_C.webp
Pokemon,2250,Rapidash,A1a,11,U,normal,2250,10002250,cPK_10_002250_00_GALLOP_U.webp
Pokemon,2260,Magmar,A1a,12,U,normal,2260,10002260,cPK_10_002260_00_BOOBER_U.webp
Pokemon,2270,Larvesta,A1a,13,C,normal,2270,10002270,cPK_10_002270_00_MERLARVA_C.webp
Pokemon,2280,Volcarona,A1a,14,R,normal,2280,10002280,cPK_10_002280_00_ULGAMOTH_R.webp
Pokemon,2290,Salandit,A1a,15,C,normal,2290,10002290,cPK_10_002290_00_YATOUMORI_C.webp
Pokemon,2300,Salazzle,A1a,16,C,normal,2300,10002300,cPK_10_002300_00_ENNEWT_C.webp
Pokemon,2310,Magikarp,A1a,17,C,normal,2310,10002310,cPK_10_002310_00_KOIKING_C.webp
Pokemon,2320,Gyarados ex,A1a,18,RR,normal,2320,10002320,cPK_10_002320_00_GYARADOSex_RR.webp
Pokemon,2330,Vaporeon,A1a,19,R,normal,2330,10002330,cPK_10_002330_00_SHOWERS_R.webp
Pokemon,2340,Finneon,A1a,20,C,normal,2340,10002340,cPK_10_002340_00_KEIKOUO_C.webp
Pokemon,2350,Lumineon,A1a,21,U,normal,2350,10002350,cPK_10_002350_00_NEOLANT_U.webp
Pokemon,2360,Chewtle,A1a,22,C,normal,2360,10002360,cPK_10_002360_00_KAMUKAME_C.webp
Pokemon,2370,Drednaw,A1a,23,U,normal,2370,10002370,cPK_10_002370_00_KAJIRIGAME_U.webp
Pokemon,2380,Cramorant,A1a,24,C,normal,2380,10002380,cPK_10_002380_00_UU_C.webp
Pokemon,2390,Pikachu,A1a,25,C,normal,2390,10002390,cPK_10_002390_00_PIKACHU_C.webp
Pokemon,2400,Raichu,A1a,26,R,normal,2400,10002400,cPK_10_002400_00_RAICHU_R.webp
Pokemon,2410,Electabuzz,A1a,27,U,normal,2410,10002410,cPK_10_002410_00_ELEBOO_U.webp
Pokemon,2420,Joltik,A1a,28,C,normal,2420,10002420,cPK_10_002420_00_BACHURU_C.webp
Pokemon,2430,Galvantula,A1a,29,U,normal,2430,10002430,cPK_10_002430_00_DENTULA_U.webp
Pokemon,2440,Dedenne,A1a,30,C,normal,2440,10002440,cPK_10_002440_00_DEDENNE_C.webp
Pokemon,2450,Mew ex,A1a,32,RR,normal,2450,10002450,cPK_10_002450_00_MEWex_RR.webp
Pokemon,2460,Sigilyph,A1a,33,U,normal,2460,10002460,cPK_10_002460_00_SYMBOLER_U.webp
Pokemon,2470,Elgyem,A1a,34,C,normal,2470,10002470,cPK_10_002470_00_LIGRAY_C.webp
Pokemon,2480,Florges,A1a,38,U,normal,2480,10002480,cPK_10_002480_00_FLORGES_U.webp
Pokemon,2490,Swirlix,A1a,39,C,normal,2490,10002490,cPK_10_002490_00_PEROPPAFU_C.webp
Pokemon,2500,Beheeyem,A1a,35,U,normal,2500,10002500,cPK_10_002500_00_OHBEM_U.webp
Pokemon,2510,Flabébé,A1a,36,C,normal,2510,10002510,cPK_10_002510_00_FLABEBE_C.webp
Pokemon,2520,Floette,A1a,37,C,normal,2520,10002520,cPK_10_002520_00_FLOETTE_C.webp
Pokemon,2530,Slurpuff,A1a,40,C,normal,2530,10002530,cPK_10_002530_00_PEROREAM_C.webp
Pokemon,2540,Mankey,A1a,41,C,normal,2540,10002540,cPK_10_002540_00_MANKEY_C.webp
Pokemon,2550,Primeape,A1a,42,C,normal,2550,10002550,cPK_10_002550_00_OKORIZARU_C.webp
